,user_id,rec
67,88,"[1082185, 1089025, 929018, 878996, 893018]"
68,91,"[1029743, 1082185, 916993, 839656, 1106523]"
69,92,"[12946027, 871061, 1029743, 1082185, 1022254]"
70,94,"[976199, 979707, 1082185, 1106523, 1029743]"
71,95,"[1068719, 899624, 885863, 1029743, 1082185]"
72,97,"[1082185, 1029743, 1075368, 1046584, 1105301]"
73,98,"[1082185, 865174, 9707240, 1068719, 998444]"
74,99,"[1082185, 1029743, 845208, 1126899, 961979]"
75,101,"[1082185, 1106523, 1022428, 1029743, 845208]"
76,103,"[1106523, 1029743, 1082185, 916122, 844179]"
77,104,"[1082185, 1074754, 1029743, 979707, 965766]"
78,105,"[13003092, 945244, 1067695, 1082185, 999858]"
79,106,"[8090532, 12171656, 5569230, 1029743, 1082185]"
80,108,"[1082185, 1041796, 979707, 1029743, 1036347]"
81,109,"[1082185, 12731436, 1029743, 1051516, 862682]"
82,110,"[1082185, 845208, 1044078, 1068719, 1106523]"
83,111,"[1060705, 981086, 1106523, 1029743, 5568378]"
84,112,"[5569845, 9527159, 872137, 1029743, 12946027]"
85,113,"[1082185, 1024306, 1029743, 1098844, 916122]"
86,114,"[10150194, 1107973, 5568489, 1082185, 1029743]"
87,115,"[837304, 1110111, 12648296, 910473, 1133312]"
88,116,"[976199, 1106523, 1029743, 1104343, 872137]"
89,117,"[1082185, 1029743, 940947, 1106523, 1105488]"
90,118,"[1082185, 5591083, 1048257, 5585510, 13381584]"
91,119,"[1082185, 932340, 1051468, 844697, 940947]"
92,121,"[1082185, 933835, 1126899, 1106523, 1029743]"
93,122,"[940947, 1105917, 912704, 1029743, 1082185]"
94,123,"[883068, 1082185, 1119761, 1029743, 12301405]"
95,124,"[870547, 1106523, 1037840, 1082185, 871756]"
96,125,"[1082185, 1029743, 971922, 999858, 899624]"
97,127,"[1082185, 1068719, 899624, 1044078, 1029743]"
98,128,"[1082185, 1029743, 10149640, 1008547, 963868]"
99,131,"[1082185, 6979545, 827667, 990797, 1075214]"
100,132,"[13189726, 1082185, 879876, 993638, 1106523]"
101,133,"[1082185, 869728, 6513604, 858439, 834491]"
102,135,"[1082185, 883202, 919534, 1106523, 1029743]"
103,136,"[8090537, 1082185, 1106523, 865511, 1029743]"
104,138,"[1082185, 8090537, 8090521, 1098844, 5591083]"
105,139,"[1082185, 1137346, 1119761, 866211, 1021324]"
106,142,"[963835, 13877192, 5569327, 1082185, 990797]"
107,143,"[1090884, 1130858, 871756, 1106523, 1082185]"
108,144,"[925862, 1082185, 1029743, 1037840, 838186]"
109,145,"[1106523, 1029743, 1051516, 1070820, 1082185]"
110,147,"[903350, 1106523, 1082185, 1029743, 983584]"
111,148,"[1069312, 12262992, 957013, 5568489, 1082185]"
112,149,"[1082185, 899624, 978906, 1137775, 959316]"
113,151,"[1106523, 1029743, 916122, 1082185, 1004906]"
114,152,"[1037332, 1082185, 845208, 1029743, 1106523]"
115,153,"[897954, 13381584, 1029743, 1126899, 1122358]"
116,155,"[979877, 1067749, 12648296, 1082185, 1029743]"
117,156,"[837644, 1074754, 1004906, 1029743, 1082185]"
118,157,"[913210, 1082185, 949294, 1054539, 838186]"
119,158,"[1092303, 1104343, 12731714, 1082185, 862799]"
120,159,"[846823, 1082185, 934639, 1004906, 940766]"
121,160,"[1101010, 1029743, 833598, 858439, 1106523]"
122,161,"[1082185, 970605, 5591083, 7155863, 976199]"
123,162,"[1082185, 1022428, 13115501, 964521, 858439]"
124,164,"[894439, 1082185, 1068719, 1029743, 898068]"
125,165,"[1082185, 1029743, 899624, 1068719, 979707]"
126,166,"[1101010, 1082185, 999625, 944486, 989069]"
127,167,"[833724, 888543, 956672, 948953, 1106523]"
128,171,"[979707, 851819, 5567502, 951190, 913210]"
129,172,"[1016276, 1118046, 5569230, 6633273, 1082185]"
130,175,"[995478, 1041796, 1070272, 1029743, 1082185]"
131,177,"[1029743, 1106523, 1082185, 854852, 986912]"
132,178,"[1137346, 949023, 13841744, 1137344, 1082185]"
133,180,"[1029743, 12263692, 1082185, 983584, 1055155]"
134,182,"[898466, 1083787, 939900, 1044078, 1104343]"
135,183,"[8090440, 1106523, 1082185, 1029743, 916122]"
136,184,"[1082185, 845208, 1028953, 843464, 1044188]"
137,185,"[838186, 1082185, 1029743, 1106523, 1044078]"
138,188,"[1082185, 1106523, 1068719, 1070820, 1029743]"
139,189,"[879876, 1137775, 1082185, 986912, 1029743]"
140,191,"[944486, 1082185, 1029743, 1106523, 865456]"
141,192,"[1082185, 1029743, 990797, 13877192, 1056509]"
142,193,"[1029743, 8090537, 1082185, 990797, 844179]"
143,194,"[951412, 854496, 1051468, 942525, 1082185]"
144,195,"[1082185, 5592931, 1131382, 858439, 880427]"
145,196,"[931255, 1055155, 1082185, 1110244, 1134810]"
146,197,"[904833, 1082185, 9881592, 963835, 1126899]"
147,198,"[1082185, 1016276, 1029743, 1068719, 899624]"
148,199,"[13189726, 820301, 1136524, 1082185, 1082212]"
149,200,"[9575582, 823990, 1102067, 1082185, 5568378]"
150,201,"[1082185, 972665, 891505, 5568721, 5567502]"
151,203,"[1131382, 1029743, 1082185, 1106523, 1126899]"
152,204,"[923670, 1070820, 1029743, 854852, 1082185]"
153,205,"[1082185, 916122, 1106523, 1068719, 1123842]"
154,207,"[951412, 976199, 5592931, 1082185, 5591083]"
155,208,"[1082185, 979707, 846823, 919534, 10149640]"
156,209,"[1082185, 1101010, 5592931, 1068719, 1044078]"
157,210,"[1082185, 899624, 1068719, 1029743, 979707]"
158,211,"[1082185, 998444, 1029743, 1136524, 1062002]"
159,212,"[1082185, 837865, 833724, 858439, 1044078]"
160,214,"[1082185, 1005274, 1019643, 872137, 1029743]"
161,215,"[985999, 916993, 938300, 1000237, 1082185]"
162,216,"[6533936, 1082185, 1048507, 1008547, 1110031]"
163,217,"[1082185, 1126045, 5570408, 899624, 976199]"
164,218,"[1082185, 1029743, 1068719, 847066, 965772]"
165,219,"[1082185, 1024306, 1102067, 1029743, 1098844]"
166,220,"[1082185, 1005274, 1029743, 1093571, 883932]"
167,221,"[1082185, 1041796, 948953, 1068719, 1106523]"
168,222,"[1082185, 1029743, 985999, 916122, 866211]"
169,223,"[1103105, 993638, 870547, 965766, 986912]"
170,224,"[1056005, 1037337, 1029743, 913210, 1053628]"
171,225,"[1043663, 907631, 1029743, 1106523, 5568378]"
172,226,"[1029743, 1082185, 1106523, 1044078, 1004906]"
173,227,"[1068719, 1106523, 1082185, 1029743, 899624]"
174,228,"[1121393, 1126899, 1082185, 1055504, 986912]"
175,230,"[1082185, 913210, 1029743, 1004906, 844179]"
176,232,"[1082185, 5592931, 945244, 913210, 1106523]"
177,233,"[992986, 1029743, 1078652, 1122568, 1082185]"
178,235,"[1082185, 1029743, 894360, 916122, 983584]"
179,236,"[1075214, 1014948, 1106523, 1029743, 1082185]"
180,238,"[1106523, 1082185, 1029743, 1102416, 948670]"
181,239,"[1082185, 845208, 1044078, 5591520, 971922]"
182,242,"[1082185, 1029743, 5591520, 1089025, 1044078]"
183,243,"[901062, 979707, 909714, 1082185, 1056509]"
184,244,"[1082185, 1106523, 1029743, 899624, 1004906]"
185,245,"[1106523, 845208, 1082185, 1029743, 1044078]"
186,246,"[7409874, 1029743, 1106523, 1004906, 1082185]"
187,247,"[1082185, 5568995, 905636, 1044188, 1097635]"
188,248,"[1082185, 1029743, 913210, 939546, 1015785]"
189,249,"[1082185, 1029743, 899624, 1068719, 916122]"
190,250,"[1082185, 1029743, 1046587, 923169, 12731436]"
191,251,"[1101010, 965693, 8090550, 8090537, 907631]"
192,253,"[1068719, 1051516, 870547, 1029743, 913210]"
193,254,"[862535, 1122568, 1082185, 1106523, 1029743]"
194,255,"[871756, 1106523, 1126899, 1026118, 1044078]"
195,256,"[1082185, 1111786, 957736, 903350, 965766]"
196,257,"[1082185, 12262778, 1106523, 1022254, 12695224]"
197,258,"[7409874, 5981074, 1082185, 1121384, 976199]"
198,259,"[5568729, 1062128, 1082185, 1029743, 979707]"
199,260,"[12949855, 913210, 859427, 1082185, 912704]"
200,262,"[1124971, 8014645, 1008814, 5585701, 5592261]"
201,263,"[1082185, 901062, 1081177, 1029743, 965766]"
202,267,"[1029743, 854852, 1082185, 1022254, 1122358]"
203,269,"[1106523, 845208, 1082185, 1053754, 891961]"
204,271,"[7025496, 1029743, 1106523, 899624, 1070820]"
205,273,"[852080, 1029743, 1004390, 1106523, 1068719]"
206,275,"[850139, 1082185, 923789, 1106523, 825703]"
207,276,"[1082185, 1029743, 904997, 1025611, 12810391]"
208,277,"[1027835, 1016276, 922561, 870547, 844179]"
209,278,"[1056492, 1106523, 1029743, 1082185, 883202]"
210,279,"[8069350, 6464165, 1029743, 1082185, 990797]"
211,280,"[1029743, 9333734, 1044078, 1106523, 1121393]"
212,281,"[1082185, 1070820, 999104, 940766, 854852]"
213,282,"[930344, 1082185, 1130581, 979707, 957736]"
214,283,"[1082185, 907631, 1110218, 1138443, 940947]"
215,285,"[1082185, 850139, 929018, 944534, 870547]"
216,286,"[1135834, 13003092, 845208, 1082185, 1106523]"
217,287,"[9881592, 1082185, 1106523, 5588161, 1029743]"
218,288,"[5577022, 1082185, 1106523, 1005456, 1026118]"
219,289,"[1082185, 858439, 1104343, 891954, 1014948]"
220,290,"[1082185, 1056492, 1013928, 845208, 1068719]"
221,291,"[8090545, 845265, 1106523, 1029743, 1082185]"
222,292,"[1106523, 1029743, 865705, 933835, 1082185]"
223,293,"[9553382, 985999, 1082185, 957013, 979707]"
224,294,"[1082185, 1029743, 1101010, 1106523, 983584]"
225,297,"[907631, 1101010, 845307, 1132771, 8090537]"
226,300,"[8273950, 8273833, 1106523, 1082185, 1029743]"
227,301,"[1082185, 1137284, 1029743, 1106523, 1044078]"
228,302,"[1003649, 1082185, 1029743, 872137, 1048507]"
229,303,"[1082185, 965766, 822225, 1082141, 1004906]"
230,304,"[1082185, 1106523, 5585510, 899624, 1068719]"
231,305,"[932340, 885290, 1050741, 1000237, 990656]"
232,306,"[1082185, 5592931, 948086, 897954, 13877192]"
233,307,"[845208, 899624, 1029743, 961979, 1082185]"
234,308,"[9803810, 887102, 885023, 862010, 1004390]"
235,311,"[1106523, 7442056, 989824, 1029743, 1082185]"
236,314,"[1082185, 903350, 5574409, 999858, 1009187]"
237,316,"[1044078, 1068719, 913210, 956486, 859154]"
238,317,"[1082185, 1029743, 849870, 13189726, 1014509]"
239,318,"[5570408, 1106523, 5569230, 1029743, 1082185]"
240,319,"[1082185, 979707, 1106523, 913210, 844179]"
241,320,"[1128812, 1126899, 1029743, 979707, 1070820]"
242,321,"[1082185, 945909, 1028891, 6534030, 1008547]"
243,322,"[1006342, 862010, 835278, 940766, 934172]"
244,324,"[1082185, 1060705, 903350, 979707, 1062002]"
245,325,"[939546, 976199, 1029743, 1082185, 948953]"
246,326,"[990256, 1013928, 1037840, 1082185, 8090521]"
247,328,"[1082185, 6633210, 940947, 1051516, 885290]"
248,329,"[1082185, 1029743, 979707, 901062, 1127831]"
249,331,"[1004906, 1076056, 1082185, 1029743, 1126899]"
250,332,"[1082185, 887102, 1044078, 1029743, 1068719]"
251,334,"[938138, 9487606, 6463717, 1000753, 1082185]"
252,335,"[831628, 6548453, 1004906, 1082185, 1029743]"
253,338,"[5981072, 1068719, 1137688, 1037863, 1051516]"
254,339,"[1106523, 1029743, 1082185, 1068719, 916122]"
255,342,"[1029743, 972143, 1106523, 1037965, 1082185]"
256,343,"[1029743, 1082185, 5568378, 1106523, 986912]"
257,345,"[1082185, 976199, 1068719, 990797, 1051211]"
258,346,"[1082185, 1029743, 1101010, 13189726, 866211]"
259,348,"[5568721, 1082185, 922636, 1029743, 1044078]"
260,349,"[976199, 844179, 1106523, 1029743, 916122]"
261,350,"[1082185, 907631, 1056509, 899624, 1029743]"
262,351,"[1082185, 894439, 899624, 13877192, 5568721]"
263,353,"[1082185, 979707, 1022254, 1029743, 1050851]"
264,354,"[1082185, 7462562, 9527184, 849870, 6602440]"
265,356,"[834117, 1106523, 1041796, 1029743, 1082185]"
266,357,"[1082185, 1126899, 1040807, 872137, 983584]"
267,358,"[1082185, 1106523, 1068719, 856827, 1044078]"
268,360,"[9487606, 5568378, 5569327, 1082185, 1106523]"
269,361,"[976199, 1082185, 1101010, 12810464, 1106523]"
270,362,"[1082185, 976199, 1126045, 952972, 12731714]"
271,365,"[998444, 1082185, 1136719, 841309, 953561]"
272,367,"[1082185, 1137284, 823721, 892531, 833724]"
273,368,"[1082185, 1106523, 1029743, 986912, 901062]"
274,371,"[1082185, 1029743, 866211, 872137, 885023]"
275,374,"[1082185, 1029743, 1081177, 1067749, 990797]"
276,375,"[6464165, 965766, 1082185, 1029743, 8090537]"
277,376,"[1029743, 1082185, 1060673, 1106523, 965766]"
278,377,"[1082185, 1029743, 1004390, 1044078, 1068719]"
279,378,"[1082185, 10150194, 1029743, 904833, 899624]"
280,380,"[916122, 1106523, 1030093, 1098284, 899624]"
281,381,"[1082185, 882604, 892531, 5569230, 1081177]"
282,382,"[961979, 1106523, 1029743, 1082185, 999250]"
283,384,"[1082185, 1042942, 1065538, 1106091, 892314]"
284,385,"[1082185, 1101010, 951412, 845208, 1029743]"
285,386,"[1082185, 1083787, 1119761, 909714, 1048507]"
286,387,"[1082185, 851819, 1103105, 1029743, 897954]"
287,388,"[995965, 1029743, 1006184, 1082185, 1106523]"
288,389,"[1082185, 12810464, 1068719, 1070702, 845208]"
289,390,"[894439, 1126045, 945909, 888543, 993638]"
290,392,"[1082185, 951412, 1029743, 972665, 1056492]"
291,393,"[1029743, 1068719, 899624, 1013928, 1082185]"
292,394,"[1107973, 1082185, 865026, 1029743, 854852]"
293,395,"[945909, 986912, 1082185, 1106523, 1070820]"
294,396,"[991874, 1082185, 878715, 901062, 1029743]"
295,397,"[894439, 892573, 1015280, 882604, 12988031]"
296,398,"[5981072, 957951, 1106523, 1029743, 1082185]"
297,400,"[1082185, 1029743, 913210, 899624, 963835]"
298,401,"[1082185, 1127758, 1106523, 1102067, 871756]"
299,402,"[9527184, 1082185, 825994, 9242918, 845265]"
300,403,"[880150, 863447, 944534, 1029743, 1082185]"
301,404,"[1082185, 902094, 1029743, 1106523, 990656]"
302,405,"[1101010, 899624, 845208, 1106523, 1082185]"
303,406,"[957951, 862010, 1042616, 1082185, 1029743]"
304,408,"[1082185, 1121360, 1029743, 1056005, 857006]"
305,409,"[1082185, 979707, 1106523, 1079987, 1029743]"
306,410,"[12810464, 1082185, 1029743, 999858, 948650]"
307,411,"[1082185, 1050851, 992986, 5585510, 913210]"
308,412,"[1005274, 945909, 1082185, 995628, 839243]"
309,413,"[1082185, 5569230, 1048257, 1098844, 1106523]"
310,414,"[1082185, 1029743, 947858, 826597, 12301839]"
311,415,"[1106523, 1029743, 1126899, 1082185, 1044078]"
312,417,"[1082185, 6464165, 12301109, 1041796, 1029743]"
313,418,"[1082185, 1029743, 1110218, 899624, 7166865]"
314,419,"[6534077, 5569230, 1082185, 1068719, 1029743]"
315,421,"[976199, 1136524, 870547, 1029743, 1106523]"
316,424,"[9187298, 1110218, 9676866, 872762, 1029743]"
317,425,"[965530, 969568, 1122568, 1106523, 957013]"
318,426,"[1082185, 929018, 1022254, 972665, 1011926]"
319,427,"[1082185, 1029743, 5569845, 825343, 1106523]"
320,430,"[1082185, 834826, 5569230, 1070845, 1006483]"
321,431,"[905636, 1096635, 1130458, 834117, 1029743]"
322,432,"[941856, 899624, 1044078, 1068719, 989069]"
323,433,"[1068719, 1106523, 5565202, 1082185, 896613]"
324,434,"[1082185, 1004390, 1029743, 1068719, 1046587]"
325,435,"[8090532, 8090537, 909714, 1082185, 1029743]"
326,436,"[934948, 998444, 1029743, 1133254, 845208]"
327,437,"[1082185, 999858, 1106523, 1029743, 1103105]"
328,438,"[1082185, 1029743, 1062002, 1022254, 1121393]"
329,439,"[7155863, 1082185, 1029743, 1106523, 1033142]"
330,441,"[844697, 1001412, 1124971, 6533681, 1082185]"
331,442,"[887503, 5981267, 1106523, 9835509, 979707]"
332,443,"[1082185, 1068719, 6463717, 9396705, 1029743]"
333,445,"[1029743, 1126899, 1082185, 1106523, 866211]"
334,447,"[845208, 1029743, 1106523, 844179, 1044078]"
335,448,"[7166861, 931255, 1120928, 1082185, 1132771]"
336,449,"[1029743, 1126899, 5569230, 1082185, 1106523]"
337,450,"[1024051, 998206, 1115576, 976199, 916122]"
338,451,"[1082185, 1082990, 957013, 1008547, 916122]"
339,454,"[1068719, 1106523, 1044078, 1082185, 899624]"
340,456,"[1059902, 1043494, 967461, 907631, 1082185]"
341,457,"[1042942, 7155863, 1029743, 979707, 1082185]"
342,458,"[6979545, 1082185, 12810391, 926905, 1029743]"
343,459,"[979707, 885290, 1029743, 986912, 1106523]"
344,460,"[1082185, 1029743, 1106523, 844179, 965766]"
345,461,"[897954, 1029743, 1004906, 1106523, 1082185]"
346,462,"[1082185, 1105917, 871756, 1137775, 6513604]"
347,463,"[1082185, 1106523, 1029743, 825343, 12811532]"
348,464,"[1082185, 1029743, 995965, 1056509, 13877192]"
349,466,"[1025611, 893018, 1044078, 1131344, 1106523]"
350,467,"[1082185, 1106523, 913210, 1029743, 899624]"
351,468,"[907625, 1137344, 1106523, 1082185, 12695224]"
352,469,"[1082185, 951412, 1098435, 1060705, 7166861]"
353,470,"[1106523, 1029743, 836445, 1126899, 933835]"
354,473,"[1053016, 990656, 1035207, 8014645, 1019247]"
355,474,"[1101010, 1106523, 1059902, 1082185, 1068719]"
356,475,"[1030981, 1082185, 908318, 1006483, 1075368]"
357,476,"[1029743, 1106523, 1082185, 1004906, 1070820]"
358,479,"[1029743, 1082185, 865456, 1106523, 8291322]"
359,480,"[1082185, 881249, 872137, 1029743, 909714]"
360,481,"[1018740, 922561, 1013407, 1029743, 1082185]"
361,483,"[5590695, 1106523, 5981074, 1082185, 986912]"
362,484,"[1082185, 1122568, 6633273, 1119761, 837304]"
363,485,"[1082185, 972665, 7166861, 1042907, 1029743]"
364,486,"[1082185, 845208, 1029743, 1132771, 899624]"
365,487,"[1029743, 904236, 1126899, 1082185, 1106523]"
366,489,"[1082185, 862010, 1005274, 1087102, 5569374]"
367,490,"[1082185, 907631, 6463717, 5568729, 1044078]"
368,491,"[1082185, 976199, 951412, 1029743, 1106523]"
369,493,"[1082185, 1029743, 898068, 835278, 5569230]"
370,495,"[913210, 970747, 1029743, 1103105, 1082185]"
371,496,"[823990, 972143, 5570408, 1106523, 836445]"
372,497,"[1072968, 1082185, 1029743, 1106523, 916122]"
373,498,"[9553382, 1106523, 1029743, 1082185, 1068719]"
374,501,"[932949, 8090537, 8090532, 922561, 1082185]"
375,502,"[1126899, 1029743, 1070820, 1041796, 1106523]"
376,503,"[885023, 1082185, 985999, 1119405, 5585701]"
377,505,"[12648296, 983267, 1082185, 1029743, 1106523]"
378,506,"[1106523, 1029743, 1082185, 1070820, 1122358]"
379,507,"[1014948, 1029743, 1082185, 1106523, 1044078]"
380,510,"[1082185, 1003649, 1029743, 979707, 929018]"
381,511,"[1116635, 1029743, 1044078, 1082185, 1106523]"
382,513,"[865026, 977658, 1082185, 1018740, 1120928]"
383,514,"[1082185, 923169, 916122, 1029743, 866211]"
384,515,"[8090546, 5981074, 1072968, 1106523, 5590613]"
385,517,"[1107973, 1128812, 1045586, 910673, 1137688]"
386,518,"[1082185, 913210, 871756, 845208, 1031087]"
387,519,"[1029743, 979707, 1082185, 1106523, 899624]"
388,520,"[8090545, 907625, 903350, 913210, 1029743]"
389,521,"[1106523, 1126899, 1029743, 1082185, 1068719]"
390,523,"[1082185, 902094, 1044188, 862010, 1000050]"
391,524,"[1106523, 1029743, 1082185, 916122, 844179]"
392,525,"[1029743, 1106523, 880150, 986912, 1051516]"
393,526,"[1082185, 1103618, 1137346, 913210, 835278]"
394,527,"[1131321, 1011926, 12988031, 910109, 6463742]"
395,528,"[1048257, 866871, 1070820, 1003616, 907099]"
396,530,"[1029743, 872137, 839243, 9803810, 1082185]"
397,534,"[13189726, 994223, 904833, 1124695, 916122]"
398,536,"[1029743, 1051211, 1106523, 1082185, 1004906]"
399,537,"[1116635, 1004436, 1106523, 1082185, 827919]"
400,538,"[1082185, 5568378, 9296919, 846417, 985889]"
401,539,"[1082185, 977658, 1027168, 976199, 854496]"
402,540,"[1082185, 951412, 1005274, 1008547, 916122]"
403,541,"[5588161, 1106523, 1029743, 1082185, 995965]"
404,542,"[1082185, 916122, 1068719, 1106523, 831628]"
405,543,"[9575582, 826597, 1082185, 990256, 1029743]"
406,544,"[1126899, 1029743, 1082185, 1070820, 1106523]"
407,545,"[1037863, 1040807, 1082185, 878996, 1029743]"
408,548,"[1098435, 8276172, 1082185, 1001412, 1110409]"
409,551,"[976199, 919534, 1029743, 1130375, 1082185]"
410,553,"[1082185, 1029743, 847066, 849202, 1042907]"
411,554,"[824180, 1106523, 1082185, 1110031, 892531]"
412,557,"[1082185, 1029743, 1106523, 857503, 979707]"
413,558,"[1106523, 1056509, 999858, 1029743, 844179]"
414,560,"[1082185, 1029743, 869177, 843464, 956672]"
415,561,"[1000753, 938138, 1082185, 909268, 1029743]"
416,562,"[1074333, 1029743, 1082185, 957951, 1053016]"
417,564,"[1082185, 989824, 1029743, 1106523, 6514160]"
418,567,"[1082185, 9487606, 1044078, 1106523, 845208]"
419,568,"[957951, 1127758, 910673, 5591083, 836445]"
420,569,"[12428017, 862010, 970160, 1082185, 1065380]"
421,573,"[1011457, 1103105, 1008032, 1070702, 1029743]"
422,574,"[1082185, 883068, 5568721, 978906, 891505]"
423,575,"[1082185, 981086, 1103105, 904833, 916122]"
424,577,"[1082185, 868548, 1029743, 824180, 1130458]"
425,578,"[833724, 7139529, 1082185, 8090521, 847207]"
426,579,"[1029743, 1082185, 1106523, 5592931, 986912]"
427,580,"[940947, 1106523, 1056509, 976199, 1082185]"
428,581,"[1105917, 909268, 834158, 1082185, 983584]"
429,582,"[5591520, 9242918, 1082185, 13071902, 1021324]"
430,583,"[1082185, 1029743, 1102067, 12811532, 5569230]"
431,585,"[1029743, 1126899, 1082185, 1106523, 1070820]"
432,586,"[1082185, 1029743, 859154, 1042907, 893018]"
433,587,"[885290, 945662, 1138487, 1082185, 1029743]"
434,588,"[1082185, 1029743, 951412, 1106523, 844179]"
435,590,"[1082185, 863447, 9835223, 1075175, 12384775]"
436,591,"[1106523, 1065017, 869728, 1082185, 1035676]"
437,592,"[1092937, 1027168, 1029743, 1082185, 1004906]"
438,593,"[1082185, 5592931, 1106523, 961979, 1068719]"
439,594,"[1082185, 1106523, 893018, 1029743, 925862]"
440,595,"[1106523, 1082185, 953561, 1070702, 1068719]"
441,596,"[8090545, 1025581, 1025611, 5569845, 1104649]"
442,597,"[1082185, 1029743, 1127758, 1025581, 1006184]"
443,598,"[890909, 9553048, 9553382, 1050741, 836445]"
444,600,"[942525, 1082185, 6039859, 1046587, 837304]"
445,601,"[829291, 1128812, 902172, 1037332, 1126899]"
446,602,"[908283, 970605, 1021116, 944139, 1027168]"
447,603,"[1126899, 1029743, 1082185, 1106523, 1070820]"
448,604,"[914577, 6979545, 1082185, 866355, 12349795]"
449,605,"[1082185, 1054402, 1106523, 965772, 5578547]"
450,606,"[1026984, 5577022, 1014509, 1082185, 1029743]"
451,608,"[1074333, 1106523, 941856, 1053016, 907631]"
452,609,"[1038985, 8090537, 1106523, 1082185, 1029743]"
453,611,"[1127716, 1029743, 1004906, 1106523, 1082185]"
454,612,"[1138292, 5592931, 1082454, 6463742, 1082185]"
455,614,"[1082185, 1137344, 1029743, 965766, 952408]"
456,615,"[976199, 971922, 948670, 1106523, 1029743]"
457,617,"[951412, 9546982, 14106445, 979707, 1126899]"
